,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E2P69_RS00595,156.6619526,-0.782894868,0.395968076,-1.977166635,0.048022798,0.168510275
E2P69_RS00600,12.72584507,-0.43978683,1.388312622,-0.316777953,0.751412094,NA
E2P69_RS00605,78.10962629,-0.212177114,0.541365166,-0.391929751,0.69511012,0.85588068
E2P69_RS00610,444.1211881,0.248079581,0.300257682,0.82622226,0.408678023,0.64448195
E2P69_RS00615,920.9222095,0.661526581,0.282574544,2.341069266,0.019228599,0.087660984
E2P69_RS00620,182.5050065,-0.519529391,0.400112769,-1.298457414,0.194130201,0.413524516
E2P69_RS00625,83.52958607,-0.23644381,0.549018765,-0.430666173,0.666711118,0.836475523
E2P69_RS00630,818.0759924,0.018530754,0.263175063,0.070412271,0.943865524,0.978628956
E2P69_RS00635,101.2746308,-0.236771727,0.454295302,-0.521184626,0.602238163,0.798113753
E2P69_RS00645,54.31747628,1.652016612,0.837926319,1.971553554,0.048660594,NA
E2P69_RS00650,30.10432585,-0.44989482,0.824722443,-0.545510582,0.585402405,NA
E2P69_RS00655,233.6977525,-0.379836662,0.393280838,-0.96581533,0.334136596,0.573945992
E2P69_RS00660,102.4364811,1.801308204,0.65789287,2.73799624,0.006181478,0.03647797
E2P69_RS00665,28.22262003,-0.251427664,0.911582611,-0.275814458,0.782690578,NA
E2P69_RS00670,278.9175923,0.766740473,0.344654999,2.224660822,0.026104016,0.109351307
E2P69_RS00675,613.7266586,0.800112854,0.291415553,2.745607931,0.00603989,0.035882852
E2P69_RS00680,605.2010733,0.04482123,0.290875287,0.154090882,0.877538077,0.94456665
E2P69_RS00685,848.3881908,-0.223434518,0.230611635,-0.968877907,0.332606109,0.57323013
E2P69_RS00690,242.1726365,0.282056026,0.351382172,0.80270443,0.422145592,0.655740264
E2P69_RS00695,230.8514307,-0.232717135,0.378577459,-0.614714716,0.538743139,0.747667669
E2P69_RS00700,591.0089498,-1.197837304,0.254194026,-4.712295255,2.45E-06,5.11E-05
E2P69_RS00705,452.780623,0.422005316,0.292995648,1.440312575,0.149778985,0.354182449
E2P69_RS00710,111.7836892,-0.000902557,0.437805209,-0.002061549,0.998355123,0.999971825
E2P69_RS00715,491.5039056,0.861131952,0.38007418,2.265694429,0.023470099,0.100958679
E2P69_RS00720,790.9814462,0.340236295,0.370875263,0.917387404,0.358939671,0.59931017
E2P69_RS00725,155.0003689,-0.377857462,0.559589988,-0.675239854,0.49952339,0.718587547
E2P69_RS00735,394.0818549,-0.037014192,0.410314485,-0.090209323,0.928120876,0.971260557
E2P69_RS00740,43.42860408,0.146560774,0.936566217,0.156487359,0.875648882,NA
E2P69_RS00745,72.76617243,-0.806967116,1.818343738,-0.443792392,0.65719269,0.8325386
E2P69_RS00750,117.7752325,0.061718946,0.607987697,0.101513479,0.919142858,0.96523891
E2P69_RS00760,445.5266638,0.629415968,0.363629791,1.730925199,0.083465107,0.241815436
E2P69_RS00765,835.0652319,0.457712199,0.264789673,1.728587805,0.083882894,0.242626794
E2P69_RS00770,195.6210501,-0.055676226,0.377159507,-0.147619839,0.882642798,0.946878982
E2P69_RS00775,3102.995478,-1.650522302,0.245960706,-6.710512133,1.94E-11,1.24E-09
E2P69_RS00780,2549.56431,-1.575981597,0.242887377,-6.488528212,8.67E-11,5.09E-09
E2P69_RS00785,1663.986958,-1.462115079,0.241346231,-6.058164119,1.38E-09,6.22E-08
E2P69_RS00790,95.94347421,-1.065146886,0.553910895,-1.922957098,0.054485438,0.183335433
E2P69_RS00795,1797.141701,-1.580468501,0.2649622,-5.96488292,2.45E-09,1.06E-07
E2P69_RS00800,283.6826135,-0.817025296,0.398703161,-2.049206968,0.040441881,0.148878523
E2P69_RS00805,41.5953557,-0.183442074,0.723943111,-0.253392941,0.799964582,NA
E2P69_RS00810,773.502088,-0.078455518,0.226354928,-0.346603975,0.728888859,0.874695879
E2P69_RS00815,349.7966291,-0.740706565,0.383856449,-1.929644709,0.053650875,0.181393506
E2P69_RS00820,59.40836673,-0.770961575,0.670192876,-1.15035776,0.24999655,NA
E2P69_RS00825,314.2750946,-0.571821623,0.31047775,-1.841747512,0.065512091,0.207366663
E2P69_RS00830,201.3183645,-0.249622143,0.420732776,-0.593303297,0.552978193,0.759509619
E2P69_RS00835,102.6184578,-0.379869644,0.507177844,-0.748987063,0.453865003,0.679929664
E2P69_RS00840,1781.438518,0.257149196,0.202988387,1.266817275,0.205220634,0.428621973
E2P69_RS00845,879.5053343,-0.336720029,0.295798954,-1.138340839,0.254978187,0.490599757
E2P69_RS00850,948.8591899,-0.327593007,0.207012101,-1.582482398,0.113539487,0.296955913
E2P69_RS00855,135.2844904,-0.009468972,0.445363319,-0.02126123,0.983037271,0.992925664
E2P69_RS00860,137.4401466,0.714892951,0.422455802,1.692231348,0.090601872,0.253728453
E2P69_RS00865,1654.671954,0.180820661,0.244107545,0.740741797,0.458850011,0.683158209
E2P69_RS00870,48.82188186,0.087767968,0.731743637,0.119943603,0.904527824,NA
E2P69_RS00875,885.3976906,0.372008014,0.259368387,1.434284332,0.15149114,0.356646425
E2P69_RS00880,330.949852,0.312055213,0.314377225,0.99261393,0.320898134,0.562049499
E2P69_RS00885,135.3613125,-0.008981902,0.470785499,-0.019078544,0.984778448,0.993835491
E2P69_RS00890,175.3530014,0.151165722,0.494102261,0.305940155,0.759650212,0.891191374
E2P69_RS00895,470.0587353,0.110918832,0.282777512,0.392247711,0.694875195,0.85588068
E2P69_RS00900,5013.044214,0.405086443,0.215586213,1.878999768,0.060244525,0.195861623
E2P69_RS00905,315.2007659,-0.377173708,0.329338362,-1.145246808,0.252106933,0.488006992
E2P69_RS00910,295.6563137,-0.454920526,0.410100723,-1.109289743,0.267305208,0.505162791
E2P69_RS00915,362.762579,-0.292922231,0.323516861,-0.90543111,0.365237041,0.606885239
E2P69_RS00920,214.7959824,-1.340928115,0.369608553,-3.627968302,0.00028566,0.003205207
E2P69_RS00925,2995.683046,-0.192920817,0.180349561,-1.069704944,0.28475214,0.524128417
E2P69_RS00930,1123.076063,-0.746642704,0.214805773,-3.475896814,0.000509148,0.005095821
E2P69_RS00935,76.32439181,-0.398041122,0.575438213,-0.691718264,0.489114275,0.709115058
E2P69_RS00940,938.1994633,-0.173908185,0.222768434,-0.78066799,0.434997792,0.663524662
E2P69_RS00945,425.8463089,-0.104462424,0.291687191,-0.358131679,0.720244773,0.87256614
E2P69_RS00955,280.4617661,0.271695244,0.335296322,0.810313821,0.417759834,0.652323946
E2P69_RS00960,1382.18528,-0.022211928,0.196583755,-0.112989643,0.910038766,0.961251366
E2P69_RS00965,87.09725722,-0.635790482,0.590133721,-1.077366806,0.281316428,0.521540129
E2P69_RS00970,733.0283182,0.012437848,0.248297915,0.050092439,0.960048725,0.982355986
E2P69_RS00975,952.4317376,0.408884218,0.250434872,1.632696814,0.102532778,0.276375652
E2P69_RS00985,110.323497,0.653957494,0.458473199,1.426381072,0.153758374,0.359688415
E2P69_RS00990,532.6446518,0.072605549,0.295953289,0.245327731,0.806202681,0.914296567
E2P69_RS00995,101.1870717,0.461098524,0.513128543,0.898602368,0.368864497,0.60973325
E2P69_RS01000,255.8017967,-0.260585143,0.411467221,-0.633307175,0.526533069,0.736393808
E2P69_RS01005,152.090912,-0.661236607,0.441300352,-1.498382233,0.13403397,0.331741737
E2P69_RS01010,491.2037854,-0.280586696,0.273520423,-1.025834533,0.304969586,0.544555424
E2P69_RS01015,168.4847107,-0.277177455,0.370418778,-0.748281328,0.454290484,0.679929664
E2P69_RS01020,61.08438977,-1.687123577,0.727268068,-2.319809782,0.02035117,NA
E2P69_RS01025,634.9656169,0.116817725,0.353093187,0.330841063,0.740764542,0.881957919
E2P69_RS01035,2749.425635,0.295034728,0.209710208,1.406868703,0.159466326,0.367785962
E2P69_RS01040,260.740421,-0.285138541,0.298972624,-0.953727927,0.34022138,0.580435797
E2P69_RS01045,323.5806225,0.23487868,0.337590016,0.695751264,0.486584615,0.706902102
